TM,STN,TA,POP,is_precip,WD_sin,WD_cos,SKY
202110191600,105,11.6,0,0,-0.9396926207859083,0.342020143325669,DB04
202110191700,105,10.6,0,0,-0.6427876096865396,0.7660444431189778,DB04
202110191800,105,10.1,0,0,-0.6427876096865396,0.7660444431189778,DB04
202110191900,105,10.1,0,0,-0.6427876096865396,0.7660444431189778,DB03
202110192000,105,9.6,100,1,-0.9396926207859083,0.342020143325669,DB04
202110192100,105,9.2,100,1,-0.9396926207859083,0.342020143325669,DB04
202110192200,105,9.1,100,1,-0.6427876096865396,0.7660444431189778,DB04
202110192300,105,8.9,100,1,-0.9396926207859084,-0.34202014332566855,DB02
202110200000,105,8.5,0,0,-0.9396926207859083,0.342020143325669,DB03
202110200100,105,8.5,100,1,-0.7660444431189779,-0.6427876096865395,DB04
202110200200,105,8.5,100,1,-0.9396926207859084,-0.34202014332566855,DB03
202110200300,105,8.4,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110200400,105,8.2,0,0,-0.6427876096865396,0.7660444431189778,DB04
202110200500,105,8.1,0,0,-1.0,-1.8369701987210297e-16,DB04
202110200600,105,7.6,0,0,-0.7660444431189779,-0.6427876096865395,DB02
202110200700,105,7.3,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110200800,105,7.9,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110200900,105,10.8,0,0,-0.9396926207859084,-0.34202014332566855,DB03
202110201000,105,12.6,0,0,-0.3420201433256686,0.9396926207859084,DB02
202110201100,105,14.1,0,0,0.766044443118978,0.6427876096865394,DB02
202110201200,105,15.0,0,0,-0.3420201433256686,0.9396926207859084,DB02
202110201300,105,16.1,0,0,1.0,6.123233995736766e-17,DB02
202110201400,105,16.0,0,0,1.0,6.123233995736766e-17,DB03
202110201500,105,15.0,0,0,1.0,6.123233995736766e-17,DB03
202110201600,105,14.0,0,0,1.0,6.123233995736766e-17,DB04
202110201700,105,13.5,0,0,0.6427876096865395,-0.7660444431189779,DB04
202110201800,105,12.9,0,0,1.2246467991473532e-16,-1.0,DB04
202110201900,105,12.5,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110202000,105,11.8,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110202100,105,10.5,0,0,-0.9396926207859084,-0.34202014332566855,DB02
202110202200,105,9.6,0,0,-0.9396926207859084,-0.34202014332566855,DB02
202110202300,105,9.4,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110210000,105,8.6,0,0,-0.7660444431189779,-0.6427876096865395,DB03
202110210100,105,8.0,0,0,-0.7660444431189779,-0.6427876096865395,DB02
